"product_name","product_url","product_instock","product_price"
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent), Works with Alexa, Google Assistant, IFTTT, No Hub Required, Wi-Fi, E26 Base, 6 Pack","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VP2KL7W/ref=sr_1_36?keywords=smart+light&qid=1581477719&sr=8-36","","80."
"TP-Link Kasa Smart WiFi Light Bulb, Multicolor - Smart LED Light Bulbs, Works with Alexa & Google (KL130)","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_37?keywords=smart+light&qid=1581477719&sr=8-37","","29."
"LED Strip Lights, DAYBETTER 16.4 FT Smart Strip Lights 5050 Kit 150 LEDs Work with Alex Google Assistant WiFi Rope Light APP Controlled Smart Light Strip for Bedroom, Home, Ceiling, Cupboard Lighting","https://www.amazon.com/DAYBETTER-Assistant-Controlled-Cupboard-Lighting/dp/B07VQT4HR2/ref=sr_1_38?keywords=smart+light&qid=1581477719&sr=8-38","","24."
"Kasa Smart Wi-Fi Light Switch, 3-Way Kit by TP-Link - Control Lighting from Anywhere, Easy In-Wall Installation (3-Way Only), No Hub Required, Works with Alexa and Google Assistant (HS210 KIT)","https://www.amazon.com/TP-Link-Switch-HS210-KIT-1-Pack/dp/B07724HNTX/ref=sr_1_39?keywords=smart+light&qid=1581477719&sr=8-39","","44."
"Dusk to Dawn Light Bulb Sensor Smart LED Outdoor Lighting Bulbs Lamp 7W E26/E27 Automatic On/Off, Indoor/Outdoor Yard Porch Patio Garden (Warm White, 3 Pack)","https://www.amazon.com/Sensor-Outdoor-Lighting-Automatic-Indoor/dp/B077SQ95ZW/ref=sr_1_40?keywords=smart+light&qid=1581477719&sr=8-40","","21."
"LED Night Light Plug in, Super Smart Dusk to Dawn Sensor, Automatic Night Lights Suitable for Bedroom, Bathroom, Toilet,Stairs,Kitchen,Hallway,Kids,Adults,Compact Nightlight, (Warm White, 4 Pack)","https://www.amazon.com/Automatic-Suitable-Bedroom-Bathroom-Nightlight/dp/B083Q333Z7/ref=sr_1_41?keywords=smart+light&qid=1581477719&sr=8-41","In Stock.","13."
"BRTLX Smart Light Bulb, RGB Dimmable Wi-Fi LED Bulb, 9W 800LM,Free APP and Voice Control, Compatible with Amazon Alexa and Google Assistant,No Hub Required,A60 E26 Multicolored Smart Bulbs (4 Pack)","https://www.amazon.com/BRTLX-Dimmable-Compatible-Assistant-Multicolored/dp/B07JFVQ6B7/ref=sr_1_42?keywords=smart+light&qid=1581477719&sr=8-42","","34."
"Smart Led Light Bulb, Alexa RGB Color Changing Light Bulb, TECKIN E27 A19 60W Equivalent, Compatible with Alexa, Google Home and IFTTT, Cold and Warm Light 2800K-6000K, WiFi Control Bulb (2 Packs)","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B081JTDZXT/ref=sr_1_43?keywords=smart+light&qid=1581477719&sr=8-43","","23."
"TECKIN Smart Light Bulb,LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),1 Pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_44?keywords=smart+light&qid=1581477719&sr=8-44","","19."
"WeMo Smart Light Switch 2ND Gen","https://www.amazon.com/WeMo-Smart-Light-Switch-2ND/dp/B07RT8H9WH/ref=sr_1_45?keywords=smart+light&qid=1581477719&sr=8-45","In Stock.","39."
"Smart LED RGB Light Bulb - Aoycocr 10W A21 E26 Soft White (2700K) Multicolor - 900 Lumens (85W Equivalent) - Compatible with Amazon Alexa and Google Assistant, No Hub Required (4 Pack)","https://www.amazon.com/Smart-LED-RGB-Light-Bulb/dp/B07T8DRZZ5/ref=sr_1_46?keywords=smart+light&qid=1581477719&sr=8-46","","40."
"Sengled Smart LED Soft White A19 Light Bulb, Hub Required, 2700K 60W Equivalent, Works with Alexa, Google Assistant & SmartThings, 4 Pack","https://www.amazon.com/Sengled-Required-Equivalent-Assistant-SmartThings/dp/B072M5RT6L/ref=sr_1_47?keywords=smart+light&qid=1581477719&sr=8-47","","38."
"Philips Hue Go Portable Table Lamp","https://www.amazon.com/Philips-Hue-Portable-Dimmable-Assistant/dp/B00UVHAC1O/ref=sr_1_48?keywords=smart+light&qid=1581477719&sr=8-48","",""
